State,domain,name,verdict,llm_verdict,llm_reason,homepage_score,activity_status,activity_date,source,sitemap_url,sitemap_status,sitemap_type,latest_lastmod
ND,inforum.com,InForum | The Forum of Fargo-Moorhead,PASS,PASS,Local newspaper covering Fargo-Moorhead area with original news content,115,active,12/31/2025,cse,https://www.inforum.com/sitemap.xml,200,sitemapindex,2025-09-10T00:00:00+00:00
ND,minotdailynews.com,"Minot Daily News: News, Sports, Jobs",PASS,PASS,Minot Daily News - local newspaper covering ND,115,unknown,no_dates,cse,N/A,,,
ND,newscenter1.tv,NewsCenter1,PASS,PASS,Local news station with strong news indicators serving ND region,115,active,12/31/2025,llm_discovery,https://www.newscenter1.tv/sitemap.xml,200,sitemapindex,2025-12-30T21:48:35+00:00
ND,bismarcktribune.com,"The Bismarck Tribune | Breaking News | Read Bismarck, ND and ...",PASS,PASS,Local newspaper covering Bismarck and surrounding ND communities,105,unknown,no_dates,cse,https://bismarcktribune.com/sitemap.xml,200,sitemapindex,2025-12-31T00:00:00+00:00
ND,thedickinsonpress.com,The Dickinson Press,PASS,PASS,"Local newspaper covering Dickinson, ND area",95,active,12/31/2025,cse,https://www.thedickinsonpress.com/sitemap.xml,200,sitemapindex,2017-06-27T00:00:00+00:00
ND,herald-journal.com,"Maris Joy Hove obituary, 8/8/07",PASS,PASS,"Local newspaper with news sections, bylines, and subscription options",95,active,12/31/2025,cse,https://herald-journal.com/sitemap.xml,200,sitemapindex,2026-01-01T10:35:35+00:00
ND,times-online.com,times-online.com | Local News for Valley City and all of Barnes County,PASS,PASS,"Local newspaper for Valley City and Barnes County, ND with original reporting",85,unknown,no_dates,cse,https://times-online.com/sitemap.xml,200,sitemapindex,2025-12-18T00:00:00+00:00
ND,hillsborobanner.com,hillsborobanner.com | North Dakota's oldest weekly newspaper,PASS,PASS,Local newspaper - North Dakota's oldest weekly newspaper with local news coverage,85,unknown,no_dates,cse,https://hillsborobanner.com/sitemap.xml,200,sitemapindex,
ND,keyzradio.com,KEYZ 660 AM,PASS,PASS,"Local news radio station with original content, RSS feed, articles with bylines",85,active,12/22/2025,llm_discovery,https://keyzradio.com/sitemap.xml,200,sitemapindex,2025-12-22T18:21:37+00:00
ND,jamestownsun.com,"The Jamestown Sun | Jamestown, North Dakota",PASS,PASS,"Local newspaper covering Jamestown, ND",80,active,12/31/2025,cse,https://www.jamestownsun.com/sitemap.xml,200,sitemapindex,2017-06-27T00:00:00+00:00
ND,westfargopioneer.com,West Fargo Pioneer,PASS,PASS,"Local newspaper covering West Fargo, ND",80,unknown,no_dates,llm_discovery,N/A,,,
ND,tmtimes.com,Home - TM Times,PASS,PASS,Local news publication covering Turtle Mountain area in ND,75,active,12/30/2025,cse,https://tmtimes.com/sitemap_index.xml,200,sitemapindex,2025-12-30T20:07:01+00:00
ND,prairiepublic.org,Listen - Prairie Public,PASS,PASS,Prairie Public is a local public radio/media outlet covering North Dakota,70,active,12/30/2025,cse,https://www.prairiepublic.org/sitemap.xml,200,urlset,2025-12-30T00:00:00+00:00
ND,wcrecord.com,The Walsh County Record,PASS,PASS,"Local newspaper covering Walsh County, ND",70,active,12/31/2025,cse,https://www.wcrecord.com/sitemap.xml,200,sitemapindex,2025-12-25T22:01:30+00:00
ND,centralnordak.com,The Beacon - Central Nordak Publishing,PASS,PASS,The Beacon appears to be a local news publisher serving central North Dakota with original content,70,active,12/31/2025,cse,https://www.centralnordak.com/wp-sitemap.xml,200,sitemapindex,2025-10-08T17:36:04+00:00
ND,nordakpublishing.com,Cass County Reporter - NorDak Publishing,PASS,PASS,Local newspaper publisher (Cass County Reporter) covering North Dakota,70,active,12/31/2025,cse,https://www.nordakpublishing.com/sitemap.xml,200,sitemapindex,2025-12-30T17:03:24+00:00
ND,journalnd.com,Hayley Becker - The Journal,PASS,PASS,Local newspaper covering North Dakota with original news content,70,active,12/31/2025,cse,https://www.journalnd.com/sitemap.xml,200,sitemapindex,2025-12-31T17:52:30+00:00
ND,bcpioneer.com,Bowman County Pioneer,PASS,PASS,"Local newspaper covering Bowman County, ND",70,active,12/31/2025,cse,https://www.bcpioneer.com/sitemap.xml,200,sitemapindex,2026-01-01T05:00:05+00:00
ND,news.prairiepublic.org,Cass County Sheriff's Office investigating Horace shooting | Prairie ...,PASS,PASS,Prairie Public is a public media organization covering North Dakota with original local news content,65,active,12/31/2025,cse,https://news.prairiepublic.org/sitemap.xml,200,sitemapindex,2025-03-07T00:00:00+00:00
ND,mhanation.com,MHA Nation,PASS,PASS,MHA Nation news covering Fort Berthold Reservation in ND with original local reporting,65,active,12/31/2025,cse,https://www.mhanation.com/sitemap.xml,200,urlset,2025-12-31T00:00:00+00:00
